"id","rt_congruent","rt_neutral","rt_incongruent"
"P003",346,364,450
"P010",475,468,508
"P012",404,414,452
"P016",372,403,453
"P021",423,454,521
"P031",365,376,422
"P033",284,298,374
"P035",379,380,422
"P036",414,431,519
"P049",409,429,496
"P053",381,401,477
"P056",348,385,472
"P061",461,511,581
"P065",403,429,509
"P076",354,380,439
"P082",404,436,564
"P084",468,490,623
"P089",464,508,592
"P092",408,445,521
"P094",482,517,617
"P097",360,382,460
"P104",347,367,495
"P105",497,550,643
"P108",457,492,640
"P122",508,524,673
"P124",477,515,597
"P134",521,552,648
"P142",492,517,597
"P145",395,438,552
"P148",582,634,754
"P155",439,469,588
"P163",426,467,523
"P172",412,435,543
"P175",467,522,623
"P177",370,413,545
"P180",467,508,651
